"id","obs","plant","GrowthTemp","temp","Tleaf","T.in.K","Press","CO2S","CaPa","CiPa","Ci.Ca","CL","Photo","Cond","E","Rlight","gbl","CndCO2","e","Dobs"
"14C_10_plant10_95",95,"plant10","14C",10,11.448902130127,284.598902130127,92.4047241210938,380.311004638672,35.1425334638525,19.8064389033927,0.563603045971788,34.824298822112,15.4190779411338,0.149241983952611,0.00101581415348998,0.354029427865248,6.13374465054082,0.0947245473448456,4.50755776358333,3.26333354674128
"14C_10_plant10_96",96,"plant10","14C",10,11.3296031951904,284.47960319519,92.4057464599609,381.439178466797,35.2471720152986,20.5395149215417,0.582728024609372,34.9406541951089,14.8522574956717,0.150020883455795,0.00100836800673771,0.354029427865248,6.13417679052353,0.0952266351281811,4.62242579292325,3.00576425140578
"14C_10_plant10_98",98,"plant10","14C",10,11.3115873336792,284.461587333679,92.3974609375,394.986846923828,36.4957817594707,10.3509609623725,0.283620749120861,35.8979065868666,15.4634582013718,0.0874956072171759,0.000592166646580489,0.354029427865248,3.27398518387785,0.055179372832054,4.60865836803451,2.93885979575135
"14C_10_plant10_99",99,"plant10","14C",10,11.3952465057373,284.545246505737,92.3923797607422,373.668243408203,34.5240982495001,4.4991307472215,0.130318559364158,33.8893745817424,16.4165666082997,0.080745862373124,0.00056983635485345,0.354029427865248,3.27381670934983,0.0508871186491257,4.76743301491658,3.14300012862488
"14C_10_plant10_100",100,"plant10","14C",10,11.198127746582,284.348127746582,92.389274597168,382.909637451172,35.3767436403784,6.74517275253393,0.190666863550299,34.8065154171405,14.7514185126574,0.076200208514414,0.000543098308495627,0.354029427865248,3.27436583488845,0.0479998471553968,4.52810126063496,3.22330773683279
"14C_10_plant10_101",101,"plant10","14C",10,11.1333169937134,284.283316993713,92.3846969604492,379.211364746094,35.0333270160262,2.18505012108145,0.0623706141321345,34.418499760539,15.9062268624854,0.0715213412079093,0.000520815826521103,0.354029427865248,3.27442212661045,0.0450307915124682,4.38570190453928,3.41244832982044
"14C_10_plant10_102",102,"plant10","14C",10,11.0452327728271,284.195232772827,92.3875885009766,384.241943359375,35.4991865479015,8.39062556727097,0.236361065793689,34.9419206212624,14.4143210860603,0.0786666781879887,0.00054511249855133,0.354029427865248,3.27390370174013,0.0495661429078247,4.58829811329717,2.99858009043722
"14C_10_plant10_103",103,"plant10","14C",10,11.3196516036987,284.469651603699,92.3915710449219,378.284088134766,34.9502612040667,4.95342942454692,0.141727965797593,34.3339149784051,15.9427028187145,0.0785205065699738,0.000554875621183916,0.354029427865248,3.27408634846877,0.0494732964999025,4.24543529756369,3.65293954811023
"14C_10_plant10_104",104,"plant10","14C",10,11.1277084350586,284.277708435059,92.3959579467773,381.892669677734,35.2853390477265,0.413327642305794,0.0117138634192159,34.6834503437914,15.568612459954,0.0659561722845593,0.000494021265368427,0.354029427865248,3.27421546250497,0.0415030494099833,4.15428645604317,3.61941087855205
"14C_10_plant11_84",84,"plant11","14C",10,10.248607635498,283.398607635498,91.4786987304688,380.239166259766,34.7837841358017,13.4057495266612,0.385402274643922,34.2250123915565,17.3052400284266,0.123096875397674,0.000754797314753054,0.354029427865248,3.88135830380168,0.0749015301733143,4.45218075200267,2.51202217843799
"14C_10_plant11_84",84,"plant11","14C",10,10.248607635498,283.398607635498,91.4786987304688,380.239166259766,34.7837841358017,13.4057495266612,0.385402274643922,34.2250123915565,17.3052400284266,0.123096875397674,0.000754797314753054,0.354029427865248,3.88135830380168,0.0749015301733143,4.45218075200267,2.51202217843799
"14C_10_plant11_86",86,"plant11","14C",10,9.93751525878906,283.087515258789,91.4808807373047,374.883819580078,34.2947019893504,16.3195067789221,0.475860871571064,33.7809099792388,15.9128274399701,0.135229142068556,0.000770743564825501,0.354029427865248,3.88160118023413,0.0820700270460377,4.69415749578119,2.5057186188393
"14C_10_plant11_86",86,"plant11","14C",10,9.93751525878906,283.087515258789,91.4808807373047,374.883819580078,34.2947019893504,16.3195067789221,0.475860871571064,33.7809099792388,15.9128274399701,0.135229142068556,0.000770743564825501,0.354029427865248,3.88160118023413,0.0820700270460377,4.69415749578119,2.5057186188393
"14C_10_plant11_88",88,"plant11","14C",10,9.88181304931641,283.031813049316,91.4691772460938,382.642181396484,34.999965511987,6.16920183371458,0.176263083219374,34.4272300544802,17.7388519630357,0.0926055140828618,0.000617590811432223,0.354029427865248,3.8812067545719,0.056719657596688,4.49639580140204,2.55309419995388
"14C_10_plant11_88",88,"plant11","14C",10,9.88181304931641,283.031813049316,91.4691772460938,382.642181396484,34.999965511987,6.16920183371458,0.176263083219374,34.4272300544802,17.7388519630357,0.0926055140828618,0.000617590811432223,0.354029427865248,3.8812067545719,0.056719657596688,4.49639580140204,2.55309419995388
"14C_10_plant11_89",89,"plant11","14C",10,9.89958190917969,283.04958190918,91.463005065918,385.385894775391,35.2485520461749,15.494165088156,0.439568838681912,34.7180241606349,16.4347412723476,0.126712151194881,0.000738655344268586,0.354029427865248,3.88168856972717,0.0770416979823806,4.19365640565407,2.89364984638452
"14C_10_plant11_89",89,"plant11","14C",10,9.89958190917969,283.04958190918,91.463005065918,385.385894775391,35.2485520461749,15.494165088156,0.439568838681912,34.7180241606349,16.4347412723476,0.126712151194881,0.000738655344268586,0.354029427865248,3.88168856972717,0.0770416979823806,4.19365640565407,2.89364984638452
